"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.500057220E-3,3.517052396E1,1.368806784E2,9.436914444E0,4.803587206E1,NaN,NaN,2.204659913E-3,2.022441566E2,2.108409309E1,-1.000000000E0
3.655302525E-2,3.517050611E1,1.368806889E2,9.436914444E0,4.803589637E1,NaN,NaN,2.372783752E-3,2.775187945E2,2.108409309E1,-1.000000000E0
4.809720516E-1,3.517050475E1,1.368806897E2,9.436914444E0,4.803589823E1,NaN,NaN,2.373779344E-3,2.779531057E2,2.108409309E1,-1.000000000E0
4.836130142E-1,3.517050474E1,1.368806897E2,9.436914444E0,4.803589824E1,NaN,NaN,2.628354348E-1,2.779531211E2,2.108409309E1,-1.000000000E0
5.778260231E-1,3.516839422E1,1.368819328E2,8.380712509E0,4.698255076E1,NaN,NaN,3.558416953E-1,5.985635519E1,2.108409309E1,-1.000000000E0
3.345955133E0,3.516781543E1,1.368826714E2,7.846889496E0,4.645048071E1,0.000000000E0,NaN,3.698905244E-1,4.984795565E1,9.600000000E1,-1.000000000E0
4.351488113E0,3.516768987E1,1.368826542E2,5.584316254E0,4.418785370E1,0.000000000E0,NaN,3.761525253E-1,2.395095563E1,4.000000000E0,-1.000000000E0
5.352719069E0,3.516764344E1,1.368826932E2,5.505397797E0,4.410902618E1,0.000000000E0,1.476562500E2,4.015999883E-1,2.114494262E1,4.000000000E0,-1.000000000E0
6.348303080E0,3.516743226E1,1.368828011E2,5.640956879E0,4.424482911E1,1.689999962E1,1.490625000E2,4.219633807E-1,2.078187814E1,4.000000000E0,-1.000000000E0
7.348647118E0,3.516732421E1,1.368829820E2,5.173366547E0,4.377767065E1,1.828000069E1,1.473046875E2,4.428010859E-1,1.799788405E1,4.000000000E0,-1.000000000E0
8.352796078E0,3.516715846E1,1.368830889E2,5.728725433E0,4.433327520E1,1.857999992E1,1.455468750E2,4.663007001E-1,1.696443791E1,4.000000000E0,-1.000000000E0
9.330428243E0,3.516694882E1,1.368831217E2,5.591701508E0,4.419631136E1,1.857999992E1,1.459373016E2,4.812297402E-1,1.673136066E1,4.000000000E0,-1.000000000E0
1.033040285E1,3.516684566E1,1.368832268E2,5.316371918E0,4.392122870E1,1.857999992E1,1.416079102E2,4.977777017E-1,1.670651373E1,4.000000000E0,-1.000000000E0
1.133037817E1,3.516670328E1,1.368832797E2,5.000026703E0,4.360499930E1,1.621999931E1,1.469774323E2,5.160032997E-1,1.600311922E1,4.000000000E0,-1.000000000E0
1.233035254E1,3.516656571E1,1.368833887E2,4.208644867E0,4.281387053E1,1.832999992E1,1.467711792E2,5.334004087E-1,1.543666080E1,4.000000000E0,-1.000000000E0
1.333033001E1,3.516643455E1,1.368834931E2,4.242885590E0,4.284835343E1,1.837999916E1,1.464833069E2,5.510306447E-1,1.526844563E1,4.000000000E0,-1.000000000E0
1.433030856E1,3.516630216E1,1.368835998E2,4.052272797E0,4.265798847E1,1.832999992E1,1.464987640E2,5.693329968E-1,1.520494847E1,4.000000000E0,-1.000000000E0
1.533028996E1,3.516616472E1,1.368837106E2,4.052299215E0,4.265827208E1,1.832999992E1,1.464987640E2,5.864694092E-1,1.640876680E1,5.930700241E0,-1.000000000E0
1.633027017E1,3.516603603E1,1.368838143E2,4.486563322E0,4.309277692E1,1.796999931E1,1.464987640E2,6.016473544E-1,1.629459181E1,6.237556500E0,-1.000000000E0
1.733025277E1,3.516596136E1,1.368836745E2,4.536794975E0,4.314266029E1,1.787000084E1,1.504688057E2,6.109238413E-1,3.701213598E1,6.093582350E0,-1.000000000E0
1.833023512E1,3.516587797E1,1.368836714E2,4.682666831E0,4.328851654E1,1.707999992E1,1.515234890E2,6.260805187E-1,4.552312677E1,5.873665321E0,-1.000000000E0
1.933022034E1,3.516574177E1,1.368836779E2,4.351554097E0,4.295740637E1,1.815999985E1,1.501172447E2,6.361464562E-1,5.502997181E1,6.153046047E0,-1.000000000E0
2.033020687E1,3.516565136E1,1.368836835E2,4.415029003E0,4.302088630E1,1.756999969E1,1.497656809E2,7.070741814E-1,6.358589863E1,6.090787400E0,-1.000000000E0
2.133019590E1,3.516542224E1,1.368844117E2,4.925284569E0,4.353289569E1,1.815999985E1,1.529297397E2,7.269420321E-1,1.631978561E1,6.171339485E0,-1.000000000E0
2.233018196E1,3.516527800E1,1.368845407E2,4.741813691E0,4.334972515E1,1.844000053E1,1.501172456E2,7.480281266E-1,1.636295981E1,6.055937544E0,-1.000000000E0
