種類,メーカー,シリーズ,記号,シリーズ,容量（GB）,型番,価格,確認日,備考,AmazonのURL,読出速度（MB/s）,書込速度（MB/s）,スピードクラス,接続,幅（mm）,奥行き（mm）,高さ（mm）,重量（g）,保証（年）,ケーブル,品名
type,maker,series,prefix,series,storage,model,price,date,remarks,url,speed_read,speed_write,speed_class,usb,width,depth,height,weight,warranty,cable,name
microSDXC,SanDisk,,SD,QXA1,128,SDSQXA1-128G,2680,2020-05-07,,https://www.amazon.co.jp/dp/B07H89SQTH,160,90,U3/V30/A2,,,,,,,,
microSDXC,SanDisk,,SD,QXA1,256,SDSQXA1-256G,5600,2020-05-07,,https://www.amazon.co.jp/dp/B07H86LWMS,160,90,U3/V30/A2,,,,,,,,
microSDXC,SanDisk,,SD,QXCZ,512,SDSQXCZ-512G,12398,2020-05-07,,https://www.amazon.co.jp/dp/B07RKL4L7Q,,,U3/V30/A2,,,,,,,,
SDXC,SanDisk,,SD,DXV5,128,SDSDXV5-128G-GHENN,4183,2020-05-07,,https://www.amazon.co.jp/dp/B07XP3GPC3,150,70,C10/U3/V30,,,,,,,,
SDXC,SanDisk,,SD,DXV5,256,SDSDXV5-256G-GHENN,7123,2020-05-07,,https://www.amazon.co.jp/dp/B07XNYCQJT,150,70,C10/U3/V30,,,,,,,,
SDXC,SanDisk,,SD,DXXY,128,SDSDXXY-128G-GN4IN,3910,2020-05-07,,https://www.amazon.co.jp/dp/B07H9DVLBB,170,,C10/U3/V30,,,,,,,,
SDXC,SanDisk,,SD,DXXY,256,SDSDXXY-256G-GN4IN,7350,2020-05-07,,https://www.amazon.co.jp/dp/B07H9VX76D,170,,C10/U3/V30,,,,,,,,
SDXC,SanDisk,,SD,DXXY,512,SDSDXXY-512G-GN4IN,15398,2020-05-07,,https://www.amazon.co.jp/dp/B07H9VBM29,170,,C10/U3/V30,,,,,,,,
SSD,SanDisk,,SD,E60,500,SDSSDE60-500G-GH25,9070,2021-08-16,,https://www.amazon.co.jp/dp/B07Z5TDVX4,550,550,,USB3.2 (gen2),49.55,96.2,9,38.9,3,USB-C,Extreme E60
SSD,SanDisk,,SD,E60,1000,SDSSDE60-1T00-GH25,14948,2021-08-16,,https://www.amazon.co.jp/dp/B07Z5TL259,550,550,,USB3.2 (gen2),49.55,96.2,9,38.9,3,USB-C,Extreme E60
SSD,SanDisk,,SD,E60,2000,SDSSDE60-2T00-GH25,25048,2021-08-16,,https://www.amazon.co.jp/dp/B07Z5SNGB1,550,550,,USB3.2 (gen2),49.55,96.2,9,38.9,3,USB-C,Extreme E60
SSD,SanDisk,,SD,E61,500,SDSSDE61-500G-GH25,11800,2021-08-16,,https://www.amazon.co.jp/dp/B08P49M11C,1050,1000,,USB3.2 (gen2),52.5,100.8,9.6,52,,USB-C,Extreme E61
SSD,SanDisk,,SD,E61,1000,SDSSDE61-1T00-GH25,20800,2021-08-16,,https://www.amazon.co.jp/dp/B08P4CN4YC,1050,1000,,USB3.2 (gen2),52.5,100.8,9.6,52,,USB-C,Extreme E61
SSD,SanDisk,,SD,E61,2000,SDSSDE61-2T00-GH25,35800,2021-08-16,,https://www.amazon.co.jp/dp/B08P45YTTL,1050,1000,,USB3.2 (gen2),52.5,100.8,9.6,52,,USB-C,Extreme E61
SSD,SanDisk,,SD,E61,4000,‎SDSSDE61-4T00-GH25,70500,2021-08-16,,https://www.amazon.co.jp/dp/B091KL9NJX,1050,1000,,USB3.2 (gen2),52.5,100.8,9.6,52,,USB-C,Extreme E61
SSD,SanDisk,,SD,E80,500,SDSSDE80-500G-J25,16800,2020-05-07,,https://www.amazon.co.jp/dp/B07VYL77GD,1050,1050,,USB3.2 (gen2),57.3,110.2,10.2,77.1,5,USB-A/USB-C,
SSD,SanDisk,,SD,E80,1000,SDSSDE80-1T00-J25,26800,2020-05-07,,https://www.amazon.co.jp/dp/B07VVC4935,1050,1050,,USB3.2 (gen2),57.3,110.2,10.2,77.1,5,USB-A/USB-C,
SSD,SanDisk,,SD,E80,2000,SDSSDE80-2T00-J25,50690,2020-05-07,,https://www.amazon.co.jp/dp/B07VXHCLC6,1050,1050,,USB3.2 (gen2),57.3,110.2,10.2,77.1,5,USB-A/USB-C,
SSD,SanDisk,,SD,E81,1000,SDSSDE81-1T00-GH25,26060,2021-08-16,,https://www.amazon.co.jp/dp/B08M6C9ZQN,2000,2000,,USB3.2 (gen2x2),57.8,110.8,10.3,77.5,5,,Extreme PRO E81
SSD,SanDisk,,SD,E81,2000,SDSSDE81-2T00-GH25,50300,2021-08-16,,https://www.amazon.co.jp/dp/B08M61HGX8,2000,2000,,USB3.2 (gen2x2),57.8,110.8,10.3,77.5,5,,Extreme PRO E81
SSD,SanDisk,,SD,E81,4000,SDSSDE81-4T00-GH25,90700,2021-08-16,,https://www.amazon.co.jp/dp/B091KNN72M,2000,2000,,USB3.2 (gen2x2),57.8,110.8,10.3,77.5,5,,Extreme PRO E81
HDD,Transcend,,TS,M3-SJ25M3S,2000,TS2TSJ25M3S,7880,2020-05-07,,https://www.amazon.co.jp/dp/B07B4KXTQK,,,,,80.8,129.5,16.1,189,3,,
HDD,Transcend,,TS,M3-SJ25M3S,1000,TS1TSJ25M3S,5990,2020-05-07,,https://www.amazon.co.jp/dp/B07B4CJ4KS,,,,,80.8,129.5,16.1,189,3,,
HDD,Transcend,,TS,M3-SJ25M3C,2000,TS2TSJ25M3C,9980,2020-05-07,,https://www.amazon.co.jp/dp/B07RPW2ZXK,,,,,80.8,129.5,16.1,189,3,,
HDD,Transcend,,TS,M3-SJ25M3C,1000,TS1TSJ25M3C,5990,2020-05-07,,https://www.amazon.co.jp/dp/B07B4CJ4KS,,,,,80.8,129.5,16.1,189,3,,
SDHC,Transcend,,TS,SDC300S-E,128,TS128GSDC300S-E,2480,2020-05-07,,https://www.amazon.co.jp/dp/B07CYS3KX1,95,,C10/U3/V30,,,,,,,,
SDHC,Transcend,,TS,SDC300S-E,256,TS256GSDC300S-E,4780,2020-05-07,,https://www.amazon.co.jp/dp/B07RR7THPP,95,,C10/U3/V30,,,,,,,,
SDHC,Transcend,,TS,SDC300S-E,512,TS512GSDC300S-E,8989,2020-05-07,,https://www.amazon.co.jp/dp/B07RN3FZ87,95,,C10/U3/V30,,,,,,,,
SSD,Transcend,,TS,ESD350C,240,TS240GESD350C,8864,2020-05-07,,https://www.amazon.co.jp/dp/B07RLWHGHK,1050,950,,USB3.2 (gen2),53.6,96.5,12.5,87,3,USB-A/USB-C,
SSD,Transcend,,TS,ESD350C,480,TS480GESD350C,14480,2020-05-07,,https://www.amazon.co.jp/dp/B07RLVN9NT,1050,950,,USB3.2 (gen2),53.6,96.5,12.5,87,3,USB-A/USB-C,
SSD,Transcend,,TS,ESD350C,960,TS960GESD350C,22800,2020-05-07,,https://www.amazon.co.jp/dp/B07RHN993H,1050,950,,USB3.2 (gen2),53.6,96.5,12.5,87,3,USB-A/USB-C,
SSD,Transcend,,TS,ESD230C,240,TS240GESD230C,6980,2020-05-07,,https://www.amazon.co.jp/dp/B07MZQ8PJZ,520,460,,USB3.2 (gen2),105,152,42,36.3,3,USB-A/USB-C,
SSD,Transcend,,TS,ESD230C,480,TS480GESD230C,11800,2020-05-07,,https://www.amazon.co.jp/dp/B07MZQK9TC,520,460,,USB3.2 (gen2),105,152,42,36.3,3,USB-A/USB-C,
SSD,Transcend,,TS,ESD230C,960,TS960GESD230C,19980,2020-05-07,,https://www.amazon.co.jp/dp/B07MZQVH18,520,460,,USB3.2 (gen2),105,152,42,36.3,3,USB-A/USB-C,
HDD,Western Digital,My Passport for Mac,WD,BA2F,5000,WDBA2F0050BBL-WESN,18325,2020-05-07,,https://www.amazon.co.jp/dp/B07VX8HHFK,,,,USB3.1 (gen1),75,107.2,19.15,209,3,,My Passport for Mac
HDD,Western Digital,My Passport for Mac,WD,BA2F,4000,WDBA2F0040BBL-WESN,15130,2020-05-07,,https://www.amazon.co.jp/dp/B07VTNW4ZQ,,,,USB3.1 (gen1),75,107.2,19.15,209,3,,My Passport for Mac
HDD,Western Digital,My Passport for Mac,WD,BA2F,2000,WDBA2D0020BBL-WESN,10080,2020-05-07,,https://www.amazon.co.jp/dp/B07VSPL8FJ,,,,USB3.1 (gen1),75,107.2,11.15,209,3,,My Passport for Mac
HDD,Western Digital,WD_BLACK P10,WD,BA3A,5000,WDBA3A0050BBK-WESN,18990,2020-05-07,,https://www.amazon.co.jp/dp/B07VNTFHD5,,,,USB3.2 (gen1),88,118,20.8,231,3,,WD_Black P10
HDD,Western Digital,WD_BLACK P10,WD,BA3A,4000,WDBA3A0040BBK-WESN,15630,2020-05-07,,https://www.amazon.co.jp/dp/B07VNTFK87,,,,USB3.2 (gen1),88,118,20.8,231,3,,WD_Black P10
HDD,Western Digital,WD_BLACK P10,WD,BA3A,2000,WDBA2W0020BBK-WESN,11090,2020-05-07,,https://www.amazon.co.jp/dp/B07VMTNDMK,,,,USB3.2 (gen1),88,118,12.8,231,3,,WD_Black P10
HDD,Western Digital,WD Elements Portable,WD,BU6Y,5000,WDBU6Y0050BBK-WESN,16647,2020-05-07,,https://www.amazon.co.jp/dp/B07X41PWTY,,,,,82,111,21,130,2,,WD Elements Portable
HDD,Western Digital,WD Elements Portable,WD,BU6Y,4000,WDBU6Y0040BBK-WESN,13480,2020-05-07,,https://www.amazon.co.jp/dp/B0713WPGLL,,,,,82,111,21,130,2,,WD Elements Portable
HDD,Western Digital,WD Elements Portable,WD,BU6Y,3000,WDBU6Y0030BBK-WESN,11980,2020-05-07,,https://www.amazon.co.jp/dp/B06XG892ZH1,,,,,82,111,21,130,2,,WD Elements Portable
HDD,Western Digital,WD Elements Portable,WD,BU6Y,2000,WDBU6Y0020BBK-WESN,8480,2020-05-07,,https://www.amazon.co.jp/dp/B06W55K9N6,,,,,82,111,15,130,2,,WD Elements Portable
HDD,Western Digital,WD Elements Portable,WD,BU6Y,1000,WDBUZG0010BBK-WESN,5980,2020-05-07,,https://www.amazon.co.jp/dp/B06VVS7S94,,,,,82,111,15,130,2,,WD Elements Portable
